file_path,emotion
(S02)\Preprocessed EEG Data\.csv format\S02G1AllChannels.csv,happy/excited
(S04)\Preprocessed EEG Data\.csv format\S04G3AllChannels.csv,happy/excited
(S11)\Preprocessed EEG Data\.csv format\S11G4AllChannels.csv,angry/frustrated
(S05)\Preprocessed EEG Data\.csv format\S05G4AllChannels.csv,happy/excited
(S09)\Preprocessed EEG Data\.csv format\S09G4AllChannels.csv,sad/depressed
(S13)\Preprocessed EEG Data\.csv format\S13G4AllChannels.csv,angry/frustrated
(S09)\Preprocessed EEG Data\.csv format\S09G3AllChannels.csv,sad/depressed
(S06)\Preprocessed EEG Data\.csv format\S06G1AllChannels.csv,angry/frustrated
(S09)\Preprocessed EEG Data\.csv format\S09G2AllChannels.csv,sad/depressed
(S12)\Preprocessed EEG Data\.csv format\S12G1AllChannels.csv,sad/depressed
(S12)\Preprocessed EEG Data\.csv format\S12G3AllChannels.csv,happy/excited
(S04)\Preprocessed EEG Data\.csv format\S04G2AllChannels.csv,angry/frustrated
(S08)\Preprocessed EEG Data\.csv format\S08G2AllChannels.csv,angry/frustrated
(S02)\Preprocessed EEG Data\.csv format\S02G3AllChannels.csv,happy/excited
(S04)\Preprocessed EEG Data\.csv format\S04G4AllChannels.csv,angry/frustrated
(S06)\Preprocessed EEG Data\.csv format\S06G3AllChannels.csv,angry/frustrated
(S12)\Preprocessed EEG Data\.csv format\S12G2AllChannels.csv,happy/excited
(S08)\Preprocessed EEG Data\.csv format\S08G3AllChannels.csv,sad/depressed
(S07)\Preprocessed EEG Data\.csv format\S07G3AllChannels.csv,relaxed/content
(S07)\Preprocessed EEG Data\.csv format\S07G1AllChannels.csv,relaxed/content
(S05)\Preprocessed EEG Data\.csv format\S05G3AllChannels.csv,happy/excited
