Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
8918,"The front page? You really do live in your own little world, dont ya?",Chandler,sadness,negative,892,16,8,21,"00:04:42,366","00:04:47,329"
1952,You freak.,Rachel,disgust,negative,195,3,3,5,"00:18:42,538","00:18:44,956"
343,Guys?,Ross,anger,negative,32,14,1,12,"0:11:40,033","0:11:43,147"
9616,"Umm, you-you and your sister seem to have umm, a very special bond, and",Rachel,neutral,neutral,956,3,5,10,"00:17:49,485","00:17:52,570"
10220,"God, I feel so guilty about Ross.",Monica,sadness,negative,1017,0,5,6,"0:12:29,540","0:12:31,462"
8558,"All right. If you care enough to make up that load of crap, okay.",Phoebe,anger,negative,853,12,7,9,"00:15:50,616","00:15:55,119"
1246,"All right buddy, time to roll over.",Chandler,neutral,neutral,127,0,4,20,"00:08:06,694","00:08:09,196"
8082,Oh my God! Look at this!,Rachel,surprise,negative,813,1,4,15,"00:17:49,318","00:17:51,694"
8794,But Im not gay. And I especially wouldnt want you to think I was gay.,Tag,joy,positive,881,0,7,4,"00:21:11,478","00:21:16,190"
816,Oh but look! Thats gonna leave a stain!,Rachel,disgust,negative,79,1,6,18,"00:16:28,570","00:16:31,072"
3275,"Oh my God, I remember now! We were playing chess!",Phoebe,surprise,positive,327,2,5,22,"00:18:25,979","00:18:29,065"
323,Daddy!,Elizabeth,surprise,negative,30,15,6,21,"00:05:10,101","00:05:11,977"
867,Not after this!,Phoebe,anger,negative,84,3,4,20,"00:21:06,056","00:21:08,224"
3375,"Thats when it occurred to me, the key to my success, the munchies. So I ah, started hitting the NYU dorms around midnight.",Ross,joy,positive,336,16,3,10,"00:13:09,955","00:13:20,006"
1022,No-no. We,Ross,fear,negative,105,0,6,23,"00:21:15,011","00:21:16,596"
3269,Are you really gonna do this?,Monica,fear,negative,326,5,8,1,"00:21:11,353","00:21:12,853"
1398,"Great, now he's waving back.",Monica,disgust,negative,145,9,1,20,"00:05:53,102","00:05:55,729"
5504,No-no-no-no-no we came together!,Joey,joy,positive,553,17,6,10,"00:09:21,143","00:09:23,645"
9834,Rachel! Rachel!,Friend No. 2,joy,positive,978,4,3,6,"00:22:14,916","00:22:16,000"
8749,Oh my God!,Chandler,surprise,negative,874,2,5,13,"00:21:11,821","00:21:14,021"
1250,"Youre going to a clinic, and a pyjama store!",Chandler,disgust,negative,127,4,4,20,"00:08:21,375","00:08:32,469"
9849,"You uh, you may have been right about Jill.",Ross,sadness,negative,981,1,6,14,"0:19:23,328","0:19:25,831"
1459,Oh my God! Oh my God! Im so sorry!,Mona,fear,negative,150,0,8,8,"00:10:59,659","00:11:01,785"
677,Hey! Guess what I got for your wedding!,Ross,joy,positive,63,0,7,20,"00:09:56,137","00:09:57,846"
