file_path,label
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_0.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_1024.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_10240.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_10496.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_10752.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_11008.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_11264.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_11520.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_11776.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_12032.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_12288.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_12544.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_1280.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_12800.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_13056.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_13312.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_13568.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_13824.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_14080.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_14336.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_14592.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_14848.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_15104.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_1536.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_15360.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_15616.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_15872.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_16128.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_16384.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_16640.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_16896.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_17152.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_17408.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_17664.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_1792.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_17920.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_18176.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_18432.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_18688.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_18944.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_19200.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_19456.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_19712.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_19968.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_20224.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_2048.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_20480.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_20736.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_20992.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_21248.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_21504.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_21760.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_22016.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_22272.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_22528.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_22784.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_2304.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_23040.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_23296.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_23552.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_23808.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_24064.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_24320.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_24576.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_24832.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_25088.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_25344.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_256.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_2560.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_25600.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_25856.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_26112.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_26368.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_26624.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_26880.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_27136.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_27392.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_27648.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_27904.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_2816.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_28160.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_28416.npy,neutral
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels_seg_28672.npy,neutral
